"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 17 04:09:15 UTC 2026","Tue Mar 17 04:09:18 UTC 2026","3099","","api.tests.AuthenticationTest","","api.tests.AuthenticationTest","testAuthenticationWithInvalidUsername","Should fail authentication with invalid username","Verify that authentication fails with incorrect username"
"passed","Tue Mar 17 04:09:19 UTC 2026","Tue Mar 17 04:09:19 UTC 2026","355","","api.tests.AuthenticationTest","","api.tests.AuthenticationTest","testSuccessfulAuthentication","Should successfully authenticate with valid credentials","Verify that authentication endpoint returns a valid token with correct credentials"
"passed","Tue Mar 17 04:09:29 UTC 2026","Tue Mar 17 04:09:30 UTC 2026","567","","api.tests.BookingApiTest","","api.tests.BookingApiTest","testSameCheckInCheckoutDates","Should handle same check in and checkout dates","Verify that booking can be created with same checkin and checkout dates"
"passed","Tue Mar 17 04:09:21 UTC 2026","Tue Mar 17 04:09:22 UTC 2026","1024","","api.tests.BookingApiTest","","api.tests.BookingApiTest","testGetBookingsByLastname","Should filter bookings by lastname","Verify that bookings can be filtered by lastname"
"passed","Tue Mar 17 04:09:22 UTC 2026","Tue Mar 17 04:09:22 UTC 2026","621","","api.tests.BookingApiTest","","api.tests.BookingApiTest","testDateFormatValidation","Should validate date format yyyy-MM-dd","Verify that only yyyy-MM-dd date format is accepted"
"passed","Tue Mar 17 04:09:24 UTC 2026","Tue Mar 17 04:09:25 UTC 2026","908","","api.tests.BookingApiTest","","api.tests.BookingApiTest","testGetBookingById","Should retrieve booking by ID","Verify that an existing booking can be retrieved using its ID"
"passed","Tue Mar 17 04:09:19 UTC 2026","Tue Mar 17 04:09:19 UTC 2026","296","","api.tests.AuthenticationTest","","api.tests.AuthenticationTest","testAuthenticationWithInvalidPassword","Should fail authentication with invalid password","Verify that authentication fails with incorrect password"
"passed","Tue Mar 17 04:09:30 UTC 2026","Tue Mar 17 04:09:32 UTC 2026","1154","","api.tests.BookingApiTest","","api.tests.BookingApiTest","testDeleteBooking","Should delete existing booking","Verify that an existing booking can be deleted"
"passed","Tue Mar 17 04:09:22 UTC 2026","Tue Mar 17 04:09:24 UTC 2026","1526","","api.tests.BookingApiTest","","api.tests.BookingApiTest","testBookingResponseSchema","Should validate booking response schema","Verify that booking response matches expected JSON schema"
"passed","Tue Mar 17 04:09:20 UTC 2026","Tue Mar 17 04:09:21 UTC 2026","959","","api.tests.BookingApiTest","","api.tests.BookingApiTest","testUpdateBookingWithoutToken","Should fail to update booking without authentication token","Verify that updating booking without token returns 403"
"passed","Tue Mar 17 04:09:27 UTC 2026","Tue Mar 17 04:09:28 UTC 2026","1489","","api.tests.BookingApiTest","","api.tests.BookingApiTest","testGetAllBookings","Should get all bookings","Verify that all bookings can be retrieved"
"passed","Tue Mar 17 04:09:28 UTC 2026","Tue Mar 17 04:09:29 UTC 2026","916","","api.tests.BookingApiTest","","api.tests.BookingApiTest","testUpdateBooking","Should update existing booking","Verify that an existing booking can be updated with new information"
"passed","Tue Mar 17 04:09:25 UTC 2026","Tue Mar 17 04:09:26 UTC 2026","875","","api.tests.BookingApiTest","","api.tests.BookingApiTest","testPartialUpdateBooking","Should partially update booking","Verify that booking can be partially updated using PATCH"
"passed","Tue Mar 17 04:09:32 UTC 2026","Tue Mar 17 04:09:32 UTC 2026","594","","api.tests.BookingApiTest","","api.tests.BookingApiTest","testCheckoutBeforeCheckin","Should reject checkout date before checkin date","Verify that booking fails when checkout date is before checkin date"
"passed","Tue Mar 17 04:09:18 UTC 2026","Tue Mar 17 04:09:19 UTC 2026","322","","api.tests.AuthenticationTest","","api.tests.AuthenticationTest","testAuthenticationWithEmptyCredentials","Should fail authentication with empty credentials","Verify that authentication fails when credentials are empty"
"passed","Tue Mar 17 04:09:26 UTC 2026","Tue Mar 17 04:09:26 UTC 2026","285","","api.tests.BookingApiTest","","api.tests.BookingApiTest","testGetNonExistentBooking","Should return 404 for non-existent booking","Verify that requesting a non-existent booking returns 404"
"passed","Tue Mar 17 04:09:30 UTC 2026","Tue Mar 17 04:09:30 UTC 2026","871","","api.tests.BookingApiTest","","api.tests.BookingApiTest","testGetBookingsByFirstname","Should filter bookings by firstname","Verify that bookings can be filtered by firstname"
"passed","Tue Mar 17 04:09:26 UTC 2026","Tue Mar 17 04:09:27 UTC 2026","599","","api.tests.BookingApiTest","","api.tests.BookingApiTest","testCreateBooking","Should create a new booking successfully","Verify that a new booking can be created with all required fields"
