"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jun 17 07:00:27 UTC 2026","Wed Jun 17 07:00:30 UTC 2026","3312","","ui.tests.WebTableTest","","ui.tests.WebTableTest","testDeleteRecord","Should delete record from table [3]","Verify that a record can be deleted from the web table"
"skipped","Wed Jun 17 06:59:41 UTC 2026","Wed Jun 17 06:59:59 UTC 2026","18108","","ui.tests.WebTableTest","","ui.tests.WebTableTest","testSearchFunctionality","Should search for records in table [1]","Verify that table search functionality works correctly"
"passed","Wed Jun 17 07:02:38 UTC 2026","Wed Jun 17 07:02:41 UTC 2026","3218","","ui.tests.FormTest","","ui.tests.FormTest","testSubjectAutocomplete","Should handle subject selection with autocomplete [1]","Verify that subjects can be selected using autocomplete dropdown"
"skipped","Wed Jun 17 07:00:10 UTC 2026","Wed Jun 17 07:00:14 UTC 2026","3615","","ui.tests.WebTableTest","","ui.tests.WebTableTest","testCompleteRecordAdd","Should add complete record successfully [2]","Verify that form accepts all fields"
"passed","Wed Jun 17 07:00:17 UTC 2026","Wed Jun 17 07:00:20 UTC 2026","3257","","ui.tests.WebTableTest","","ui.tests.WebTableTest","testSearchWithNoResults","Should handle search with no results [1]","Verify that search returns empty results when no match is found"
"passed","Wed Jun 17 07:02:41 UTC 2026","Wed Jun 17 07:02:43 UTC 2026","2705","","ui.tests.FormTest","","ui.tests.FormTest","testMinimalFormSubmission","Should submit form with required fields only [1]","Verify that form can be submitted with only required fields"
"failed","Wed Jun 17 07:00:14 UTC 2026","Wed Jun 17 07:00:17 UTC 2026","3384","","ui.tests.WebTableTest","","ui.tests.WebTableTest","testCompleteRecordAdd","Should add complete record successfully [3]","Verify that form accepts all fields"
"failed","Wed Jun 17 07:02:30 UTC 2026","Wed Jun 17 07:02:34 UTC 2026","4465","","ui.tests.WebTableTest","","ui.tests.WebTableTest","testMultipleOperations","Should handle multiple record operations [3]","Verify that multiple add, edit, and delete operations work correctly"
"skipped","Wed Jun 17 07:00:20 UTC 2026","Wed Jun 17 07:00:24 UTC 2026","3476","","ui.tests.WebTableTest","","ui.tests.WebTableTest","testDeleteRecord","Should delete record from table [1]","Verify that a record can be deleted from the web table"
"skipped","Wed Jun 17 07:01:14 UTC 2026","Wed Jun 17 07:01:47 UTC 2026","33428","","ui.tests.WebTableTest","","ui.tests.WebTableTest","testEditRecord","Should edit existing record in table [2]","Verify that an existing record can be edited"
